rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
4.0,3.0,2.0,116.0,105.0,260000.0,Departamento
4.0,2.0,1.0,90.0,80.0,260000.0,Departamento
3.0,2.0,1.0,60.0,51.0,155000.0,Departamento
3.0,2.0,1.0,60.0,53.0,135000.0,Departamento
4.0,3.0,1.0,78.0,72.0,185000.0,Departamento
2.0,1.0,2.0,55.0,50.0,190000.0,Departamento
3.0,2.0,1.0,79.0,66.0,329000.0,Departamento
3.0,2.0,1.0,68.0,65.0,180000.0,Departamento
2.0,1.0,1.0,40.0,40.0,107000.0,Departamento
2.0,1.0,1.0,25.0,25.0,75000.0,Departamento
3.0,2.0,2.0,65.0,61.0,220000.0,Departamento
2.0,1.0,2.0,57.0,48.0,135000.0,Departamento
4.0,3.0,3.0,131.0,120.0,370000.0,Departamento
2.0,1.0,1.0,59.0,39.0,110000.0,Departamento
1.0,1.0,1.0,27.0,25.0,65000.0,Departamento
2.0,1.0,1.0,65.0,45.0,198000.0,Departamento
4.0,3.0,1.0,104.0,79.0,255000.0,Departamento
3.0,2.0,1.0,67.0,57.0,175000.0,Departamento
3.0,2.0,1.0,70.0,66.0,194500.0,Departamento
2.0,1.0,1.0,70.0,50.0,175200.0,Departamento
4.0,3.0,2.0,148.0,120.0,395000.0,Departamento
2.0,1.0,2.0,63.0,53.0,186000.0,Departamento
4.0,3.0,2.0,96.0,86.0,295000.0,Departamento
3.0,2.0,1.0,65.0,60.0,129500.0,Departamento
4.0,3.0,2.0,98.0,95.0,295000.0,Departamento
4.0,3.0,1.0,92.0,79.0,168000.0,Departamento
3.0,2.0,1.0,65.0,65.0,119000.0,Departamento
2.0,1.0,2.0,65.0,54.0,210000.0,Departamento
2.0,1.0,1.0,41.0,36.0,104000.0,Departamento
3.0,2.0,1.0,65.0,60.0,250000.0,Departamento
4.0,3.0,2.0,95.0,85.0,173850.0,Departamento
3.0,2.0,2.0,144.0,78.0,410000.0,Departamento
3.0,2.0,1.0,73.0,63.0,278200.0,Departamento
3.0,2.0,2.0,87.0,77.0,173000.0,Departamento
2.0,1.0,1.0,52.0,46.0,159900.0,Departamento
2.0,1.0,1.0,52.0,46.0,145400.0,Departamento
3.0,2.0,1.0,79.0,76.0,170000.0,Departamento
2.0,1.0,1.0,33.0,33.0,95000.0,Departamento
1.0,1.0,1.0,40.0,36.0,90000.0,Departamento
3.0,2.0,1.0,81.0,73.0,319000.0,Departamento
3.0,2.0,1.0,67.0,61.0,180000.0,Departamento
3.0,2.0,1.0,88.0,79.0,335000.0,Departamento
1.0,1.0,1.0,20.0,20.0,80000.0,Departamento
3.0,2.0,2.0,90.0,82.0,265000.0,Departamento
4.0,3.0,1.0,68.0,62.0,138000.0,Departamento
3.0,2.0,1.0,64.0,53.0,146000.0,Departamento
2.0,1.0,1.0,70.0,50.0,148000.0,Departamento
2.0,1.0,1.0,50.0,50.0,95000.0,Departamento
2.0,1.0,2.0,61.0,55.0,250000.0,Departamento
4.0,3.0,2.0,87.0,80.0,240000.0,Departamento
2.0,1.0,1.0,54.0,45.0,125000.0,Departamento
1.0,1.0,1.0,23.0,23.0,76500.0,Departamento
2.0,1.0,1.0,44.0,39.0,118000.0,Departamento
3.0,2.0,2.0,71.0,65.0,329000.0,Departamento
2.0,1.0,1.0,52.0,47.0,135000.0,Departamento
2.0,1.0,1.0,45.0,42.0,115000.0,Departamento
3.0,2.0,2.0,60.0,60.0,228000.0,Departamento
4.0,3.0,1.0,107.0,95.0,315000.0,Departamento
